ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,872316人评价
2,9.5,霸王别姬,626985人评价
3,9.4,这个杀手不太冷,834313人评价
4,9.4,阿甘正传,711356人评价
5,9.5,美丽人生,414896人评价
6,9.2,千与千寻,662578人评价
7,9.4,辛德勒的名单,382543人评价
8,9.2,泰坦尼克号,653822人评价
9,9.2,盗梦空间,762688人评价
10,9.3,机器人总动员,498825人评价
11,9.2,海上钢琴师,599175人评价
12,9.1,三傻大闹宝莱坞,673745人评价
13,9.2,忠犬八公的故事,455115人评价
14,9.2,放牛班的春天,452358人评价
15,9.2,大话西游之大圣娶亲,488104人评价
16,9.1,龙猫,418413人评价
17,9.2,教父,343651人评价
18,9.1,楚门的世界,454067人评价
19,9.2,乱世佳人,271349人评价
20,9.1,天堂电影院,309585人评价
21,9.1,触不可及,365913人评价
22,8.9,当幸福来敲门,538537人评价
23,9.2,熔炉,251825人评价
24,9.0,无间道,398561人评价
25,9.0,搏击俱乐部,404127人评价
